,group_lab_name
"Unlisted Lab: Aspergillis PCR from blood. Send out lab to FOCUS Diagnostics CBT code 87798, reference lab code 48003.",7
"Unlisted Lab: Mayo sendout test CATP (Catecholamine Fractionation, Free, Plasma)",7
Unlisted Lab: Please send yersinia pestis serology to the CDC. CDC 10419. 500 uL of serum (red top),7
Unlisted Lab: Murine typhus Ab IgG (Mayo - FMTAG),7
"Unlisted Lab: Ambry Genetics, ExomeNext",7
Unlisted Lab: TBX1 gene sequencing,7
Unlisted Lab: aspergillus blood PCR,7
Unlisted Lab: HHV8 PCR,7
Unlisted Lab: Mayo Autoimmune encephalitis panel,7
"Unlisted Lab: PTSE, 1 mL royal blue top vacutainer tube. 3 hours into cisplatin",7
"Unlisted Lab: PTSE, 1 mL royal blue top vacutainer tube. 6 hours after starting cisplatin",7
Research Lab Draw,7
"Unlisted Lab: Autoimmune encephalitis, CSF sample. Send out to Mayo (Code 61509)",7
"Unlisted Lab: Mycoplasma PCR, CSF sample, send out to Mayo (Code MPRP), 0.5 mL",7
Unlisted Lab: Requisition in chart.,7
Unlisted Lab: CPT: 83540.  SEND OUT 72h urine collection for Iron,7
Unlisted Lab: Baylor Genetics Global Maps Requisition,7
Slide Interpretation by Pathologist,7
"Unlisted Lab: Please send for vitamin B7, Biotin",7
"Unlisted Lab: CSF Autoimmune encephalitis panel, send to Mayo clinic (lab code: ENCEC)",7
Unlisted Lab: Please collect 2 ml of blood into a gold top tube (SST).,7
Unlisted Lab: whole exome sequence,7
"Unlisted Lab: BK IgG Elisa, test code 2300 to Viracor",7
Unlisted Lab: aHUS genetic panel send-out lab,7
Unlisted Lab: Please collect 1 ml blood into a gold top tube (SST),7
Unlisted Lab: Combined mito genome plus mito nuclear gene panel,7
"Unlisted Lab: Fungitel, 1-3-beta-D Glucan. Test code 16283",7
Unlisted Lab: Succinyladenosine (CSF) send out to MNG Laboratories. Test Code: NC 06. Requires 1mL CSF stored frozen.,7
"Unlisted Lab: Purine and Pyrimidine Panel, Urine send out to Mayo Clinic. Test ID PUPY. Requires 3mL urine.",7
Complement Alternate Pathway,7
"Unlisted Lab: PHP1A / Albright Hereditary Osteodystrophy (GNAS sequence, reflexed to e1A methylation)), send out to Johns Hopkins.",7
Unlisted Lab: Cincinnati Children's HLH lab: Perforin,7
Unlisted Lab: Cincinnati Children's HLH lab: CD107A,7
Unlisted Lab: alpha-aminoadipic semialdehyde,7
"Unlisted Lab: adalimumab drug concentration and anti-adalimumab levels, to be drawn simultaneously",7
Unlisted Lab: adalimumab antibody and level,7
"Unlisted Lab: C3a (send out, req required, National Jewish)",7
"Unlisted Lab: Measles IgG, Mumps IgM, Mumps IgG send out to Mayo",7
"Unlisted Lab: Urine indican, Mayo Medical UIQL.  Ship two 4.5 mL aliquots from well-mixed random urine collection, no preservatives, shipped frozen.",7
Unlisted Lab: ZnT8 autoantibody,7
"Unlisted Lab: PTSE, 1 mL royal blue top vacutainer tube. 48 hours after starting cisplatin",7
Unlisted Genetic Test: Neurological Lysosomal Storage Disorder Enzyme Panel through Greenwood Genetics,7
"BRAF, Blood",7
Unlisted Lab: Zinc transporter,7
"Unlisted Genetic Test: Hyperekplexia NGS Panel, SEND OUT LAB by Molecular Diagnostics Laboratory",7
Unlisted Lab: Thrombopoietin,7
Unlisted Lab: Zn T8 Zinc Transporter,7
"Unlisted Lab: Anti-aquaporin 4 antibody, from CSF",7
Unlisted Genetic Test: Heritable Connective Tissue Gene Panel with GeneDx.,7
Unlisted Lab: Emory IBD panel send-out test,7
Unlisted Lab: B ALL fusion detection multiplex RT-PCR,7
Unlisted Lab: NOONAN SPECTRUM DISORDERS/RASOPATHIES NEXTGEN SEQUENCING (NGS) PANEL,7
Unlisted Lab: Please send aspergillus PCR from the blood,7
Unlisted Lab: NBIA  panel,7
Sickle Cell Prep,7
"Unlisted Lab: autoimmune encephalitis panel, Mayo Clinic, code ENCEC",7
Unlisted Lab: urine indicans qualitative,7
Unlisted Lab: Trio Whole Exome Sequencing + mtDNA through Baylor Laboratories.(5cc of blood  in two separate EDTA tubes - total 10cc),7
Unlisted Lab: Send out to Cincinnati Children's Clinical Laboratory (Thrombotic Microangiopathy Test),7
Unlisted Lab: Please send out coccidioidomycosis urine antigen to Miravista lab,7
Unlisted Lab: Mayo Labs PTSE,7
Unlisted Lab: BK IgG ELISA to Viracor - test code 2300,7
Unlisted Lab: Chikungunya antibody,7
Unlisted Lab: JMML Associated Exon Panel,7
Unlisted Lab: Ambry Genetics CardioNext Test #8911,7
Unlisted Genetic Test: GeneDx infantile epilepsy panel,7
Unlisted Lab: Molecular Genetics Lab Test sent ot St. Francis for GNAS1 testing. Requisition in Send Out,7
Unlisted Lab: JC Virus DNA PCR from CSF fluid,7
Unlisted Lab: LAB3413 - Cysticercus IgG Western Blot (from CSF),7
Unlisted Lab: 2cc CSF FROZEN TUBE 3,7
"Unlisted Lab: Hereditary angioedema type III. 1-5ml of blood in a purple tube, EDTA",7
Unlisted Lab: Super coombs,7
"Unlisted Lab: C3A (send out ot national jewish, requisition required)",7
Unlisted Lab: Alpha Globin Gene - sendout lab to Mayo Clinic,7
"Unlisted Lab: Encephalitis Antibody Panel (Test Code FENAP), Send Out to Mayo Clinic. Specimen 5ml of CSF (minimum 2ml)",7
"Unlisted Lab: 48 hour platinum level. 1 ml in royal blue-top Vacutainer trace element tube. Send out to Mayo Lab, test code PTSE",7
Unlisted Lab: PLA2R Autoantibodies (sendout to Cincinnati Children's),7
Unlisted Genetic Test: Please collect 3ml sample per requisition form for pancreas panel in EDTA/lavender tube,7
Unlisted Lab: clobazam level,7
Unlisted Lab: Autoimmune Encephalitis panel,7
Unlisted Lab: CSF: Mayo autoimmune encephalitis panel ENCEC,7
Unlisted Lab: Mayo autoimmune encephalitis panel ENCEC,7
"Unlisted Lab: 3mL in purple top, please give to sendout lab with Invitae paperwork (in green binder)",7
Unlisted Genetic Test: Trio Whole Exome sequencing to Prevention Genetics,7
Unlisted Lab: Plasma Global Metabolomic Assisted Pathway Screen,7
"Unlisted Lab: CSF, pteridines. MNG Laboratories.",7
Unlisted Lab: PRSS1 mutations,7
"Unlisted Lab: CSF Pyruvate, MET11, MGN Lab sendout",7
"Unlisted Lab: CSF Lactate, MET07, MNG Lab sendout",7
"Unlisted Lab: Oklahoma Medical Research Foundation- Myositis Antibody Profile (2ml serum), P155/140 by Western Blot (1ml serum), MJ by western blot (1ml serum), MDA-5 by Wester Blot (1ml serum)",7
"Unlisted Lab: send out to viracor IBT, 1,3 beta-d-glucan test code 1700, red top tube 1 ml",7
Unlisted Lab: Liver cytosol AutoAb-1,7
Unlisted Lab: CPML to be sent out to GeneDx,7
"Unlisted Lab: Send out to focus Bartonella DNA, Qualitative Real-Time PCR  (test code 47000), on liver biopsy tissue",7
"Unlisted Lab: Please send CSF to Mayo clinic laboratories for: Test ID: CAVPC, California Virus (La Crosse) Encephalitis Antibody Panel, IgG and IgM, Spinal Fluid",7
"Unlisted Lab: FOXP3, Regulatory T-cells",7
Unlisted Lab: Dilated Cardiomyopathy NGS panel,7
"Unlisted Lab: Mycoplasma Antibodies, IgG and IgM in CSF",7
"Unlisted Lab: C3a, C4a, C5a desArg level by RIA",7
Unlisted Lab: 8-10 mL of blood for T helper IL 17 and toll like receptor labs to childrens hospital of wisconsin,7
Unlisted Lab: GeneDx epilepsy panel,7
Unlisted Lab: Botulism State Lab Send Out,7
Unlisted Lab: FSMN: Sensory motor neuropathy evaluation complete.  Send out to Mayo,7
"Unlisted Lab: Aspergillus DNA PCR, Quant",7
BMT Panel II,7
Unlisted Lab: GeneDX Panel for infantile spasms,7
Unlisted Lab: Aspergillus PCR quantitative,7
Unlisted Lab: D lactate,7
Isolator Fungus,7
t1517 PMLrar,7
Unlisted Lab: comprehensive arrhythmia panel,7
"Unlisted Lab: BK IgG ELISA, sendout to Viracor, 4 mL in EDTA lavender tube, 2300",7
Unlisted Lab: MJ by western BLot,7
"Unlisted Lab: Send out to viracor IBT, (1,3)-beta-d-glucan, test code 1700, red top tube 1ml",7
Unlisted Lab: C4a to Mayo lab FC4a,7
Unlisted Lab: C5a,7
Unlisted Lab: mycoplasma PCR nasopharyngeal swab,7
"Unlisted Lab: JC Virus DNA, Qualitative PCR from Urine.  Send out to ARUP.",7
Unlisted Lab: Whole exome sequening,7
Unlisted Lab: Myositis antibody panel,7
"Unlisted Lab: 24 hour platinum level. 1 ml in royal blue-top Vacutainer trace element tube. Send out to Mayo Lab, test code PTSE",7
Unlisted Lab: Gene testing for inherited FSGS,7
Unlisted Lab: Hemophagocytic Lymphohistiocytosis (HLH) panel,7
"Unlisted Lab: Encephalitis Antibody Screen from CSF collected on 4/25/15, send out to Mayo please. Thanks.",7
Unlisted Lab: JC virus PCR from CSF sample,7
Unlisted Lab: lysosomal enzyme assay,7
"Unlisted Lab: Very Long Chain Fatty Acid Profile, Peroxisomal Fatty  Acid Profile (C22-C26)",7
"Unlisted Lab: Telomere lengthening test sendout to Repeat Diagnostics in Canada, EDTA lavender top tube",7
Unlisted Lab: Gene test ATP7B (to test for Wilson's disease),7
Unlisted Lab: Amino Acids,7
Unlisted Lab: Lactate,7
Unlisted Lab: Proband Whole Exome Sequencing to be sent be Baylor Genetics,7
Unlisted Lab: GSD ComprehensivePanel by Massively Parallel Sequencing,7
Unlisted Lab: HOUR 6 cisplatin level,7
Unlisted Lab: HOUR 36 cisplatin level,7
Unlisted Lab: HOUR 18 cisplatin level,7
Unlisted Lab: Borrelia Species by PCR (Lyme Disease),7
Unlisted Lab: Anti Aquaporin 4 IgG,7
"Unlisted Lab: CSF Sendout: CSF Amino Acids, Glycine, Folate Metabolites, CSF P5P, CSF succinyladenosine, Sialic Acid, Alpha-aminoadipic semialdehyde",7
"Unlisted Lab: Send out to Wisconsin laboratory, 5 ml plain red top tube, send with paper req",7
"Unlisted Lab: 9 hour platinum level. 1 ml in royal blue-top Vacutainer trace element tube. Send out to Mayo Lab, test code PTSE",7
Unlisted Lab: Interleukin-18 (IL-18) Cincinnati Children's Diagnostic Immunology Laboratory,7
"Unlisted Lab: Autoimmune Encephalitis Panel from CSF, Send out to Mayo Clinic. Lab Code: ENCEC",7
"Unlisted Lab: send out lab: mayo clinic Test ID: ENCEC Encephalopathy, Autoimmune Evaluation, Spinal Fluid",7
Unlisted Lab: anti-LGI1 receptor antibody,7
"Unlisted Lab: 12 hour platinum level. 1 ml in royal blue-top Vacutainer trace element tube. Send out to Mayo Lab, test code PTSE",7
"Unlisted Lab: Aspergillus PCR , qualititative. Serum study.",7
VDRL CSF,7
Unlisted Lab: CSF Measles IgG IgM antibody panel IFA  (60675 Focus laboratories) - Minimum 0.75ml,7
Unlisted Lab: Anti Ganglioside  Antibodies. Send out to Mayo Clinic.,7
Unlisted Lab: Cocci complement fixation antibody testing on pleural fluid sample,7
Unlisted Lab: Proband Whole Exome Sequencing 5-10mL EDTA,7
Unlisted Lab: Pyridoxal 5'-phosphate (CSF) send out to MNG Laboratories. Test Code: NC05. Requires 1mL CSF stored frozen.,7
Unlisted Lab: 1/2 cc red tube,7
"Unlisted Lab: C4A, C5A, C3A to be sent to Natinal Jewish Hospital Lab in Denver",7
"Unlisted Lab: AH50 (per rheumatology, test for complement alternate pathway).",7
"Unlisted Lab: Send-out: Inherited Focal and Segmental Glomerulosclerosis (FSGS) Evaluation, 10mL, Lavender top",7
Heparin Platelet Factor 4 AB,7
Unlisted Lab: whole exome sequencing SENDOUT to Baylor. Must arrive within 48 hours of being drawn.,7
Unlisted Lab: anti-AMPA receptor antibody,7
Unlisted Lab: CSF 5-methyltetrahydrofolate,7
Unlisted Lab: see below,7
"Trichomonas vaginalis, NAAT",7
"Unlisted Lab: C4a (send out, req required, National Jewish)",7
Unlisted Lab: Azithromycin drug level 2009359 ARUP labs,7
Unlisted Lab: C4a desArg level by RIA,7
"Unlisted Lab: Cunningham Panel (Anti-Dopamine Receptor D1, Anti-Dopamine Receptor D2L, Anti-Lysoganglioside GM1, Anti-Tubulin, CaMKII)",7
Unlisted Lab: Send 3-10cc blood in an EDTA (purple top tube),7
Unlisted Lab: Whole Exom Sequencing,7
Unlisted Lab: GeneDx comprehensive cardiomyopathy panel (test #694),7
Unlisted Lab: CSF Tetrahydrobiopterin and neopterin profile (NC03),7
"Unlisted Lab: Mayo Clinic Mayo Medical Laboratories - Please send with attached ""Neurology Test Request Form:",7
Unlisted Lab: mitoNGS,7
Unlisted Lab: Infectious meningoencephalitis panel (FMEPL) send out to Mayo clinic,7
Unlisted Lab: RT-PCR for chikunguna - to Focus diagnostics 45606,7
Unlisted Lab: RT-PCR for dengue fever - to focus diagnostics 43400,7
Unlisted Lab: pyruvate,7
Unlisted Lab: Mayo Encephalopathy Panel (test id:ENCES),7
Unlisted Lab: Oklahoma Medical Research Foundation Clinical Immunology Laboratory - myositis antibody profile,7
Unlisted Lab: aHUS genetic panel order form.  Please draw 1 3 mL EDTA whole blood tube. Machaon diagnostics form is in paper chart.,7
Unlisted Lab: Oklahoma Medical Researh Foundation Clinical Immunology Laboratory - MDA-5 (CADM-140),7
Unlisted Lab: Mayo Clinic encephalopathy panel CSF (Test ID: ENCEC),7
Unlisted Lab: CSF Methotrexate Level; Seattle Children's,7
Unlisted Lab: Drug Dependent Platelet Antibody,7
Unlisted Lab: Pancreatic Secretion Fluid - Enzyme Analysis with secretin stim test,7
"Unlisted Lab: 1,3 beta D glucan: 2-3 ml red top tube",7
MD/APP to RN Communication -- OK to move chemo up by 2 hours on 2/1/19,7
Unlisted Lab: Alpha-aminoadipic semialdehyde (CSF) send out to MNG Laboratories. Test Code: NC 08. Requires 1mL CSF stored frozen.,7
Unlisted Lab: Duplication and Deletion Analysis of ATP7B to Baylor. Test code 2553,7
"Unlisted Genetic Test: Send out to invitae, comprehensive epilepsy panel, TEST CODE: 03401",7
Unlisted Lab: Medical Neurogenetics,7
Unlisted Lab: FoxP3,7
Unlisted Lab: invitae 17 gene panel for long qt syndrome,7
Unlisted Lab: interleukin-18 (IL-18) | Cincinnati Children's Diagnostic  immunology,7
Unlisted Lab: send out lab to Mayo POXP phytanic acid plasma sample EDTA lavender,7
Unlisted Lab: Childhood Onset Epilepsy Panel through GeneDx. Lavender Top Tube.,7
"Unlisted Lab: 1,3 Beta D glucan",7
Unlisted Lab: Quest qualitative aspergillious DNA PCR,7
Unlisted Lab: Super-Coombs,7
Unlisted Lab: Anti enterocyte,7
Unlisted Lab: GeneDx Comprehensive Cardiomyopathy Panel,7
Unlisted Lab: lysosomal enzyme panel,7
"Unlisted Lab: Encephalopathy, Autoimmune Evaluation, Spinal Fluid--send to Mayo",7
Unlisted Lab: Please draw 3-5 ml of blood to be collected into EDTA (purple top) as well as 3-5 ml to be drawn into green top to be sent via send out lab for whole exome and SNP,7
"Unlisted Lab: body fluid pH from pancreatic drain, prior to MRCP imaging",7
"Potassium, FLD",7
Unlisted Lab: JaundiceChip Re-sequencing Array,7
Unlisted Lab: Bile acid assay urine,7
"Unlisted Lab: C4A (send out ot national jewish, requisition required)",7
Unlisted Lab: rifabutin drug level 2009363 ARUP labs,7
"Unlisted Lab: 1,3 beta-d-glucan",7
Unlisted Genetic Test: Invite arrhythmia and cardiomyopathy comprehensive panel,7
Unlisted Lab: adenosine deaminase pleural fluid,7
Unlisted Lab: Serum free copper level,7
HIV-1/HIV-2 Antibody Confirmation,7
Unlisted Lab: Trio Whole Exome Sequencing PLUS comprehensive MtDNA analysis,7
Unlisted Lab: Please draw 5 ml of blood in a lavender tube for repeat diagnostics,7
Unlisted Lab: Aspergillus PCR.  Send out to Focus Diagnostics.  CPT code: 87798X3,7
Unlisted Lab: Autoimmune Encephalitis Panel (Mayo Clinic) - labe code ENCEC,7
Unlisted Lab: Aquired Neuropathy panel send out to Wash U,7
Unlisted Lab: BK IgG Elisa to Viracor (test code 2300),7
Prader Willi Syndrome,7
Unlisted Lab: Send out lab to hematologics for PML-RARA testing. Please add on to bone marrow sample from 9/8.,7
"Unlisted Lab: Machaon Diagnostics, aHUS Genetic Panel, 3 mL in a purple top tube",7
Vasoactive Intest Polypep,7
Unlisted Lab: Factor D level through National Jewish Health Advanced Diagnostic Laboratories,7
Unlisted Lab: beta-1 d-glucan,7
"Hemoglobin, Urine",6
Unlisted Lab: SLC12A3 gene sequencing and del/dup analysis; send to Medical Neurogenetics Laboratories,6
"Myeloid Panel, Non-Blood",6
Unlisted Lab: Emory IBD Panel. Ship sample at room temperature with overnight delivery.,6
"BCR-ABL1 Kinase Domain Analysis, Non-Bld",6
Unlisted Lab: Invitae LQTS panel,6
Transfusion Svc Prod 15,6
"Unlisted Lab: Mayo Clinic Laboratories.  Test ID EPIES (61512) Epilepsy Autoimmunology Evaluation, serum",6
Orthopedic Cult Mult Specimens,6
CNS Demyelinating Disease Eval with Reflex,6
"N Methyl D Aspartate Receptor Ab, CSF",6
Chlamydia Serology,6
Natural Killer Cells,6
Unlisted Lab: 1 mL blood in royal blue top tube send out to Mayo for serum platinum level to be drawn 12.5 hours after completion of Cisplatin infusion,6
"Unlisted Lab: POMPE Disease: Acid Maltase Activity (acid alpha-glucosidase, GAA) from Whole Blood (3-5cc EDTA tube)",6
"Calcitonin, Serum",6
Yersinia Enterocolitica AB,6
Transfusion Svc Prod 14,6
Pediatric EKG Rhythm Strip,6
C1q Binding Assay,6
Direct Parasite Exam,6
"pH, Pleural Fluid",6
"Beta 2 Microglobulin, Serum",6
Unlisted Lab: Please draw 1 lavender top tube and 1 PAXgene tube (2.5 mL) and send to lab for send-out testing to be sent to FM.  Time sensitive specimen.  Must be sent ttoday.  Thanks!,6
"BCR ABL, BLD",6
Research Lab Draw: M16-106: Venetoclax PK - Hour 8,6
Massive Transfusion Guideline,6
T7 Thyroid Panel,6
"21 Hydroxylase Ab, Ser",6
Flow Cytometry Comp Hem Cases,6
Euglobulin Clot Lysis,6
Aminolevulinic Acid Urine Timed,6
"Amphetamine Confirmation, Urine",6
"Unlisted Lab: Enterovirus PCR, stool",6
Nasal Culture,6
"BCR ABL Quant, BM",6
Miscellaneous Allergen 1,6
"Herpes Viral 8 DNA, Quant",6
Unlisted Lab: HLH genetic testing,6
Unlisted Lab: Ambry Genetics CardioNEXT (Test #8911)- Kirsten Brown Self,6
"Histamine Level, Urine",6
"Gliadin (Deamidated) IgA, Serum",6
"Unlisted Lab: Telomere length testing sendout to Repeat Diagnostics in Canada, EDTA lavender top tube (10ml)",6
"Hemosiderin, Urine",6
Busulfan 30 Min Post Infusion,6
"Chikungunya Virus RT-PCR, Blood",6
Unlisted Lab: c/f AML (please add on to blood drawn at 0917),6
Celiac Genetics,6
Growth Hormone Level (RIA),6
CMV Genotype,6
Rubeola IgM,6
"Heavy Metal/Creatinine Ratio with Reflex, Ur",6
Unlisted Lab: send out for FSGS genetics,6
"Glucose Urine Random, w/Creat",6
GC Molecular Detection,6
Biochem Genetic Misc Test,6
"17 Hydroxycorticosteroids, Urine",6
Unlisted Lab: Collagen VI panel to PreventionGenetics. Please draw 6 mL whole blood in EDTA purple top tubes. Req form to accompany sample. (Order 718008305),6
"SF3B1 Mutation Analysis, Non Blood",6
Unlisted Lab: Send out test to the CDC through Santa Clara Public Health Department. Cysticercosis Serology. CDC-10459. Please send 0.5 ml of blood in SST Gold-top gel tube,6
IgG Anti DGP,6
Unlisted Lab: Epilepsy gene panel with reflex to whole exome sequencing,6
HLA Kit Req Recipient No Donor Info,6
Janus Kinase 2 V617F Mutation,6
Hemoglobin A1c  with Est Mean Glucose,6
HLA Unrelated Donor Processing,6
"Unlisted Lab: Autoantibody to interferon gamma. Collect in a plain red top, SST or green tube top. minimum volume, 0.5 ml but 1 ml preferred volume. Please send with requistion form which is in chart.",6
C5a Level,5
Donath Landsteiner Test,5
Tetrahydrobiopterin/Neopterin,5
Human Papilloma Virus 6/11 PCR,5
CPR for Family and Friends - Infants,5
"Drug Screen, Plasma",5
Osmotic Fragility,5
"Cocci CF AB, CSF",5
"Gastrin, Serum",5
"Albumin, Urine (Timed)",5
HLA Additional Specimen (Recip Typing),5
Milk,5
Cytokines Plasma,5
CPR for Family and Friends-Adult/Child,5
Unlisted Immunology: ENCEPHALOPATHY AUTOIMMUNE EVALUATION SERUM,5
Hemoglobin Lab Only,5
Bone Culture/GS,5
Unlisted Genetic Test: Comprehensive mitochondrial sequencing sendout to Baylor - recquisition form is in the media tab,5
"Manganese, Serum",5
Donor HTLV I/II Confirmatory,5
Dientamoeba fragilis Microscopic Exam,5
Toxoplasma IgA,5
Apolipoprotein A1,5
Thiocyanate Level,5
Strep Group B Screen by PCR,5
Entamoeba Histolytica Ag,4
"Myasthenia Gravis Evaluation, Adult",4
VZV Quant,4
Retinol Binding Protein,4
STAMP Block/Slide Request,4
"Oxalate, 24-Hour/Timed",4
"Meningococcal Ab,Vaccine Response",4
C Trachomatis / Psittaci Culture,4
"Creatine Guanidinoacetate, Ur",4
"Progesterone Level, Serum/Plasma",4
"Nicotine and Metabolites Level, Urine",4
"HVA, Timed Urine",4
Acetylcholine Blocking Ab,4
"Fever Syndromes Panel, Periodic",4
Meningococcal Ab Vaccine,4
"Carnitine, Urine",4
"Occult bld, Immuno Colorectal Scn",4
"VMA, Timed Urine",4
Vedolizumab Antibodies,4
"Oligosaccharides TLC, Urine",4
"ACT, Istat Kaolin Circuit",4
Citrate Excretion Urine 24 hours,4
Lysosomal Disease Panel,4
"Histoplasma Antigen Reflex, Urine",4
Adenovirus Rapid Culture,4
Blastomyces Serologies,4
"S Sulfocysteine, Urine",4
"Echinococcus AB, IgG w/Reflex",4
Iodine Level,4
Chestnut,4
Branched Chain Amino Acids,4
"IgD, Serum",4
Walnut,4
"Occult bld, Guaiac Diag Single",4
RPR Qualitative,4
Hazelnut,4
Cashew,4
"Albumin Urine, Timed",4
"Cortisol Free, Serum",4
Leptospirosis AB,4
Bordetella pertussis NAAT,4
"Estrogens, Fractionated",4
Pecan,4
C3a Level,4
Toxocara AB,4
Francisella Tularensis AB,4
Unlisted Chemistry: HOLD one red top tube drawn on 12/7/14.,4
Adenosine Deaminase Pleural,4
"Occult bld, Gastric",4
Fibrinogen Quant,4
"Coenzyme Q10 Level, Reduced & Total",4
Infliximab Serum Level and Ab,4
clonazePAM Level,4
Brazil Nut,4
Heparin (HIT) Function Assay,4
Pistachio,4
Thrombin Time,4
"Amylase Urine Random, w/Creat",4
"Vitamin D 1 25 Dihydroxy, Serum",4
Auto Lymph Prolif Syndrome,4
Hematocrit Lab Only,4
TRK Flow Cytometry for Leukemia/Lymphoma,3
Intrinsic Ftr Blk Ab,3
Miscellaneous Allergen 3,3
"Uric Acid, Fluid",3
"Nucleic Acid Isolation, DNA",3
Adalimumab Qnt w Reflex to Ab,3
"Trypsinogen, Serum",3
"Unlisted Chemistry: send out to Viracor IBT, (1-3)-beta-d-glucan test code 1700, red top tube, 1ml",3
Trichomonas Exam,3
"Unlisted Chemistry: HLA B27, order code SHLA",3
Handling & Storing Breastmilk,3
"BCR ABL, BM",3
Unlisted Molecular: Alagille syndrome (JAG1) full sequence analysis (Jaundice CHIP),3
"Aldosterone, Serum (Adult)",3
"Insulin,1 Hour",3
Sputum for Eosinophils,3
Misc Chemistry,3
IgG Subclass 1,3
Celiac Plus,3
Von Willebrand Scn,3
"Serotonin, Serum",3
"Direct Bilirubin, Fluid",3
Unlisted Chemistry: infliximab antibody,3
"B Cell Clonality PCR, BM",3
"T Cell Clonality PCR, BM",3
Central Line the Basic Teaching,3
IgG Anti TTG,3
IgG Subclass 3,3
"Mycoplasma Pneumoniae IgG, Ab",3
"Mucopolysaccharides TLC, Urine",3
A Phagocytophilum AB,3
Muscle Tyrosine Kinase AB,3
Unlisted Hematology: 2-4 mL whole blood (EDTA),3
"Histoplasma Ag, Urine/Fluid",3
Unlisted Cyto: Cincintti Children's Familial HLH testing,3
Acetylcholine Modulating Ab,3
Slide Interp/Pathologist,3
"Acetylcholinesterase, Erythrocytes",3
Olanzapine Level,3
"Aminolevulinic Acid, Urine",3
Feeding and NG Tube-Heart Center,3
Unlisted Cyto: Array CGH cytogenetics,3
Unlisted Immunology: Encephalopathy Autoimmune Evaluation Panel from Serum,3
WBC Count Lab Only,3
Angiotensin Converting Enzyme,3
POCT pH Paper for PH Measurement,3
"Insulin,2 Hour",3
"Insulin, Fasting",3
"Myoglobin Screen, Urine",3
Creatine Guanidinoacetate,3
Chlamydia IGG/IGA/IGM AB,3
"T3 Reverse, LC/MS/MS",3
"MOG-IgG1, FACS",3
T Helper IL17,3
"Bilirubin Indirect, Ser/Plas",3
Encephalitis Ab Screen,3
Soy,3
"ANA, HEp-2, IgG IFA",3
"Unlisted Chemistry: Sendout to Focus, test name Aspergillus antibody CF serum, test code 40150, 1ml serum.",3
clomiPRAMINE and Metabolite Level,3
Pain Teaching,3
Unlisted Chemistry: JP fluid - please check for total bilirubin,3
Miscellaneous Allergen 2,3
Brucella Ab Agglutination,3
Busulfan Pre Dose,3
"Arsenic Level, WB",3
CK Isoenzyme Electrophoresis,3
"HIV-1 RNA, Qualitative TMA",3
Vedolizumab with Reflex to Antibodies,3
"Testosterone, Total Bio Free",3
Cysticercus IgG Antibody,3
"Insulin,30 Min.",3
C1 Esterase Inhibitor Antigen,3
Unlisted Chemistry: Free dopamine,3
"Sodium, Stool Timed",3
Unlisted Immunology: Adalimumab trough level and adalimumab antibodies,3
Research Lab Draw: M16-106: Venetoclax PK - Hour 4,2
Research Lab Draw: AML16 Cell Free DNA: Day -4 - Due PRIOR to start of chemotherapy,2
"ACT, Istat Kaolin Post Oxy",2
"Research Lab Draw: M16-106: Venetoclax PK - Day 2, Hour 6",2
CASPR2-IgG CBA,2
"Unlisted Micro/ Viro: mycoplasma titer IgG, IgM.",2
Egg White,2
Research Lab Draw: ANBL00B1,2
Chromium Ser/Plas,2
HLA B27 Ag,2
SNP Microarray (Pediatric),2
"Reverse T3, Serum",2
Research Lab Draw: AML16 Cell Free DNA: Day 22 - Due PRIOR to start of chemotherapy,2
"Research Lab Draw: M16-106: Venetoclax PK - Day 2, Hour 2",2
"Copper/Creatinine Ratio, Urine (Random)",2
Research Lab Draw: AML16 Immune Repertoire: Day -4 - Due PRIOR to start of chemotherapy,2
Research Lab Draw: M16-106: Venetoclax PK - Hour 2,2
Pinon Nut IgE,2
T Cell Interleukin Prolif,2
Felbamate Level,2
"Research Lab Draw: M16-106: Venetoclax PK - Day 2, Hour 4",2
Unlisted Immunology: Encephalopathy Autoimmune Evaluation Panel from CSF,2
Macadamia Nut IgE,2
HIV 1 Genotype and Antivir Resist,2
Research Lab Draw: BMT 331,2
LAB321B Antibody Differentiation,2
"ACT, Istat Kaolin Mixed Venous",2
"Glucose Tolerance for CF, 2 Hour",2
Research Lab Draw: biomarkers to identify T cell mediated acute liver injury in pediatric patients,2
Research Lab Draw: BMT 351,2
"Cancer Somatic Mutation Pnl, BM",2
Carboxyhemoglobin,2
Research Lab Draw: BMT 331 (PBMTC study) ** RESEARCH BLOOD SAMPLE ** (YELLOW TOP),2
Haloperidol Level,2
Deoxycorticosterone,2
Carbamazepine Level,2
"Pbg Deaminase, RBC",2
Thyroglobulin & Thyroid Ab,2
"Adulterants Survey, Urine",2
"C1 Inhibitor, Function",2
Fam Mediterranean Fever DNA,2
Unlisted Cyto: Prevention Genetics- KCNT1 Sanger Sequencing,2
Blastomycosis Ab,2
Unlisted Molecular: Comprehensive Arrhythmia Panel and Comprehensive Cardiomyopathy Panel,2
LGI1-IgG CBA,2
Anti Mullerian Hormone Level,2
"17 OH Pregnenolone Level, Peds",2
Adenovirus AB IGG and IGM,2
IgG Subclass 2,2
"S. Pneumoniae AG Detection, LA",2
Thyroid Stim Immunoglobulin,2
"PTH, Other",2
"Schistosoma IgG AB, FMI, Serum",2
